hash,filename,message,LLM Inference (fix type),Rectified Message,dev_score,llm_score,rectified_score,notes
a100a3957ffb11c841dbd74a649cbb9b5a17a2aa,style.js,"[eslint config] [base] [breaking] Update `object-curly-newline` to match eslint 4.18.0

In eslint v4.18.0 separate settings are introduced for imports and exports for the `object-curly-newline` rule.

Without this change, there is different behavior when updating eslint to this version.",add missing rules for object-curly-newline,Update style.js,2,1,1,
ea5b991a4f67264a7d3a2d783de67b29450f2779,rebase.yml,[Tests] migrate tests to Github Actions,add missing env in automatic rebase,Update rebase.yml,2,2,1,
1e0a696730256af82d284f37a66032681cf23387,react-a11y.js,[eslint config] [breaking] disable `label-has-for`; enable `control-has-associated-label`,add deprecation warning,Update react-a11y.js,1,1,1,
ad0c44c6affa87743419038682f00c0b9d0d9989,index.js,"[eslint config] Remove rules/strict from 'extends'

Since the file is now imported in base instead.

Fixes #1582.",add missing require,Update index.js,2,1,1,
11bfc4a221907f20acf9ec8839f69cb5653cb1a2,README.md,Fixed typo,add missing closing tag to example,Update documentation in README.md,2,0,2,
9d598c3563819a42f23f2ad19dd23a2f6e515a05,es6.js,"[eslint config] [base] [breaking] enable more overlooked rules:

 - `no-void`
 - `constructor-super`
 - `prefer-spread`
 - `no-new-require`
 - `no-undef-init`",add more comments to lint rules,Update es6.js,2,2,1,
b4995b6416faa714299a39976a0b7107ad7b2afe,variables.js,"[eslint config] [base] revert breaking part of #1420

I’ll re-enable it in the next major.",add comment about no-shadow,Update variables.js,2,1,1,
1282ee63df09442602588af5cedce850533b217a,README.md,Add comment on why we're breaking a rule,fix warning in micro-optimizing example,Update documentation in README.md,2,2,1,
607ad012eeaa4e72601b381d49ddb905dee2f138,README.md,change wording for 8.2 for consistency,add missing semicolon,Update documentation in README.md,1,2,1,
f7321b303d6f3046ba49741041312fa2d8c76ed7,README.md,[modules] fix invalid syntax in bad example. fixes #287,add missing semicolon,Update documentation in README.md,2,0,1,
a344d6c8e7f21e6af107ed3e335068bf6a621c5d,README.md,[guide] [eslint config] [base] [breaking] `no-multiple-empty-lines`: Restrict empty lines at beginning of file,add markdownlint syntax comment,Update documentation in README.md,2,2,1,
a23f93eb001ec398ff42f37945b01db2787f6c93,react.js,[eslint config] [breaking] enable `react/jsx-fragments`,add todo to jsx-fragments rule,Update react.js,1,2,1,
81c58472b6cf6ea486365faf257e97100d85fa7f,react.js,Fix a bug introduced in f2afce75e949eacd1ba64e89b863105828976f20 / #581,add missing rules,Update react.js,1,2,1,
e037d29b93e5b61434deb9ba485f76c6406b7cb3,package.json,[eslint config] [base] [deps] [breaking] update `eslint`; enable `no-await-in-loop`,add missing version of babel,Update package.json,1,2,1,
a929776d67ea3471993356e5819c4099963175d7,package.json,"Improve guideline for image alt text

After digging into this rule a little more with @evcohen, we believe that
it is okay for images to have an empty string for alt text and have
updated the plugin to reflect that understanding. This commit bumps our
dependency on the rule to include this fix and updates our guideline to
match.",add missing version of eslint,Update package.json,2,2,1,
fd8cbec8e0b312dcf31a579fe3b1e7098ae0bfe7,README.md,[guide] change straight quotes to curly quotes,add more comments to the rules,Update documentation in README.md,2,2,2,
274c8d570155a05b016980294d4204c5711bce86,react.js,"[eslint config] [patch] set `namedComponents` option to match style guide

Change the `namedComponents` option to `function-declaration` to match what the style guide requires.

https://github.com/airbnb/javascript/commit/019e0f7e07477e85249e1d584f22773120c41b91#r60060792",add missing comment,Update react.js,2,1,1,
086cc0035df91b34c52744ab278b778a4d3208a7,errors.js,"[eslint config] [base] [breaking] enable `no-template-curly-in-string`

 - Also, clean up rule documentation.",add more comments and comments,Update errors.js,1,1,1,
01e72b9963bd8ff6567001d6be1612701a79383d,best-practices.js,[eslint config] [base] [breaking] `no-else-return`: disallow else-if,add todo for semver major rule,Update best-practices.js,2,0,1,
